mask_type,comparison,distance_bin_m,n_patches,median_opt,median_baseline,median_diff_opt_minus_baseline,mean_diff_opt_minus_baseline,wilcoxon_statistic,raw_p,holm_adj_p,holm_rank_threshold,reject_holm_alpha_0_05
nonrainy,OPT_NORM_VIRTUAL_CONVEX_CONST_INIT_LONG vs IDW,"(6000,9000]",65,0.11283976584672928,0.6284708976745605,-0.46316641569137573,-0.7893307656623829,56.0,3.0785819071433774e-11,3.0785819071433774e-11,0.05,True
nonrainy,OPT_NORM_VIRTUAL_CONVEX_CONST_INIT_LONG vs ILDW,≤125,76,0.015943811275064945,0.033616712543249945,-0.015171329544871492,-0.06969987395001809,238.0,5.916937816982891e-10,5.916937816982891e-10,0.05,True
nonrainy,OPT_NORM_VIRTUAL_CONVEX_CONST_INIT_LONG vs ILDW,"(125,375]",81,0.022773995995521545,0.046883302438709834,-0.025857743881525674,-0.059854684040198454,142.0,8.707879194343343e-13,2.612363758303003e-12,0.016666666666666666,True
nonrainy,OPT_NORM_VIRTUAL_CONVEX_CONST_INIT_LONG vs ILDW,"(375,750]",82,0.03421476483345032,0.07251155644446677,-0.03752091602441575,-0.10303731763425171,23.0,8.520141538994924e-15,3.40805661559797e-14,0.0125,True
nonrainy,OPT_NORM_VIRTUAL_CONVEX_CONST_INIT_LONG vs ILDW,"(750,1500]",83,0.05309373140335083,0.1463638622765277,-0.09057999470480427,-0.16035899231209158,19.0,4.988890277187154e-15,2.494445138593577e-14,0.01,True
nonrainy,OPT_NORM_VIRTUAL_CONVEX_CONST_INIT_LONG vs ILDW,"(1500,3125]",86,0.07592859864234924,0.35147007579411293,-0.24033232492078194,-0.3512897082207737,0.0,7.989098714773312e-16,5.592369100341319e-15,0.0071428571428571435,True
nonrainy,OPT_NORM_VIRTUAL_CONVEX_CONST_INIT_LONG vs ILDW,"(3125,6000]",84,0.11497925966978073,0.5086694432650691,-0.41361424882709524,-0.5382954903881424,0.0,1.7106552178285207e-15,1.0263931306971124e-14,0.008333333333333333,True
nonrainy,OPT_NORM_VIRTUAL_CONVEX_CONST_INIT_LONG vs ILDW,"(6000,9000]",65,0.11283976584672928,0.6985109817749101,-0.4430354840751518,-0.8484183921856383,51.0,2.4649663373021275e-11,4.929932674604255e-11,0.025,True
nonrainy,OPT_NORM_VIRTUAL_HOMOTOPY_CONST_INIT_LONG vs IDW,≤125,76,0.016787296161055565,0.049955449998378754,-0.03178985416889191,-0.10483254765459774,0.0,3.6060528034893936e-14,7.212105606978787e-14,0.025,True
nonrainy,OPT_NORM_VIRTUAL_HOMOTOPY_CONST_INIT_LONG vs IDW,"(125,375]",81,0.022925734519958496,0.06592673063278198,-0.04637017846107483,-0.12456607127252592,0.0,5.362626265112966e-15,1.6087878795338896e-14,0.016666666666666666,True
nonrainy,OPT_NORM_VIRTUAL_HOMOTOPY_CONST_INIT_LONG vs IDW,"(375,750]",82,0.033884983509778976,0.1048290766775608,-0.07679321616888046,-0.16114578092204215,0.0,3.66389094267832e-15,1.465556377071328e-14,0.0125,True
nonrainy,OPT_NORM_VIRTUAL_HOMOTOPY_CONST_INIT_LONG vs IDW,"(750,1500]",83,0.05315747857093811,0.20098921656608582,-0.13729829667136073,-0.22654152720006315,2.0,2.692839435394259e-15,1.3464197176971297e-14,0.01,True
